Company,Year,Launches,Successful,Failed,Revenue_USD_M,Budget_Funding_USD_M,Employees,Rockets,Success_Rate_%
SpaceX,2010,2,2,0,80,150,1100,1,100.0
SpaceX,2011,0,0,0,180,200,1800,1,0.0
SpaceX,2012,2,2,0,300,400,2500,1,100.0
SpaceX,2013,3,3,0,500,500,3000,2,100.0
SpaceX,2014,6,6,0,1000,600,4000,2,100.0
SpaceX,2015,7,6,1,1300,1000,5000,2,85.71
SpaceX,2016,9,8,1,1600,1200,6000,2,88.89
SpaceX,2017,18,18,0,2200,1500,7000,3,100.0
SpaceX,2018,21,21,0,2900,2000,8000,3,100.0
SpaceX,2019,13,13,0,1450,2500,9000,3,100.0
SpaceX,2020,27,27,0,2500,3000,9500,3,100.0
SpaceX,2021,33,33,0,4200,4000,12000,4,100.0
SpaceX,2022,61,61,0,6000,5000,14000,4,100.0
SpaceX,2023,98,98,0,8700,6000,16000,5,100.0
SpaceX,2024,134,134,0,13100,7000,19000,5,100.0
NASA,2010,4,4,0,0,18700,18000,3,100.0
NASA,2011,5,5,0,0,18500,17500,3,100.0
NASA,2012,4,4,0,0,17700,17000,2,100.0
NASA,2013,4,4,0,0,16800,17000,2,100.0
NASA,2014,5,5,0,0,17600,17200,2,100.0
NASA,2015,6,6,0,0,18010,17400,2,100.0
NASA,2016,8,8,0,0,19300,17500,2,100.0
NASA,2017,8,8,0,0,19500,17700,2,100.0
NASA,2018,7,7,0,0,20700,17900,3,100.0
NASA,2019,8,8,0,0,21500,18000,3,100.0
NASA,2020,7,7,0,0,22600,18200,3,100.0
NASA,2021,9,9,0,0,23300,18500,3,100.0
NASA,2022,10,10,0,0,24000,18700,3,100.0
NASA,2023,11,11,0,0,25400,18900,4,100.0
NASA,2024,10,10,0,0,24875,19000,4,100.0
Rocket Lab,2010,0,0,0,0,1,5,0,0.0
Rocket Lab,2011,0,0,0,0,2,8,0,0.0
Rocket Lab,2012,0,0,0,0,5,15,0,0.0
Rocket Lab,2013,0,0,0,0,8,25,1,0.0
Rocket Lab,2014,0,0,0,0,12,40,1,0.0
Rocket Lab,2015,0,0,0,0,15,60,1,0.0
Rocket Lab,2016,0,0,0,0,20,100,1,0.0
Rocket Lab,2017,1,0,1,1,75,150,1,0.0
Rocket Lab,2018,3,2,1,15,140,300,1,66.67
Rocket Lab,2019,6,6,0,48,140,500,1,100.0
Rocket Lab,2020,7,7,0,55,140,700,1,100.0
Rocket Lab,2021,6,6,0,62,777,900,1,100.0
Rocket Lab,2022,9,9,0,211,1400,1400,1,100.0
Rocket Lab,2023,10,10,0,245,1500,1900,1,100.0
Rocket Lab,2024,16,16,0,436,1800,2100,2,100.0
